Word,Rank,Frequency,Pr(%),r*Pr
friendship,699,21,0.0%,0.111100
join,700,20,0.0%,0.105961
development,701,20,0.0%,0.106112
safe,702,20,0.0%,0.106264
friendly,703,20,0.0%,0.106415
results,704,20,0.0%,0.106567
generous,705,20,0.0%,0.106718
army,706,20,0.0%,0.106869
continent,707,20,0.0%,0.107021
values,708,20,0.0%,0.107172
legitimate,709,20,0.0%,0.107323
surely,710,20,0.0%,0.107475
sections,711,20,0.0%,0.107626
real,712,20,0.0%,0.107778
vision,713,20,0.0%,0.107929
virtue,714,20,0.0%,0.108080
continued,715,20,0.0%,0.108232
everywhere,716,20,0.0%,0.108383
forth,717,20,0.0%,0.108534
soil,718,20,0.0%,0.108686
responsible,719,20,0.0%,0.108837
rich,720,20,0.0%,0.108989
consider,721,20,0.0%,0.109140
causes,722,20,0.0%,0.109291
provision,723,20,0.0%,0.109443
seem,724,20,0.0%,0.109594
era,725,20,0.0%,0.109745
agriculture,726,20,0.0%,0.109897
lines,727,20,0.0%,0.110048
enter,728,20,0.0%,0.110200
limited,729,20,0.0%,0.110351
add,730,20,0.0%,0.110502
struggle,731,20,0.0%,0.110654
lands,732,20,0.0%,0.110805
above,733,20,0.0%,0.110956
amendment,734,19,0.0%,0.105552
representatives,735,19,0.0%,0.105696
burden,736,19,0.0%,0.105840
living,737,19,0.0%,0.105984
tax,738,19,0.0%,0.106128
greatly,739,19,0.0%,0.106271
achieve,740,19,0.0%,0.106415
subjects,741,19,0.0%,0.106559
functions,742,19,0.0%,0.106703
committed,743,19,0.0%,0.106847
waste,744,19,0.0%,0.106990
taxes,745,19,0.0%,0.107134
rules,746,19,0.0%,0.107278
immediate,747,19,0.0%,0.107422
nearly,748,19,0.0%,0.107566
open,749,19,0.0%,0.107709
recent,750,19,0.0%,0.107853
counsel,751,19,0.0%,0.107997
doing,752,19,0.0%,0.108141
intelligence,753,19,0.0%,0.108285
former,754,19,0.0%,0.108428
hard,755,19,0.0%,0.108572
operation,756,19,0.0%,0.108716
confederacy,757,19,0.0%,0.108860
europe,758,19,0.0%,0.109004
adoption,759,19,0.0%,0.109147
difficult,760,19,0.0%,0.109291
democratic,761,19,0.0%,0.109435
short,762,19,0.0%,0.109579
burdens,763,19,0.0%,0.109723
depend,764,19,0.0%,0.109866
various,765,19,0.0%,0.110010
except,766,19,0.0%,0.110154
settlement,767,19,0.0%,0.110298
reserved,768,19,0.0%,0.110442
chance,769,19,0.0%,0.110586
energy,770,19,0.0%,0.110729
sentiment,771,19,0.0%,0.110873
health,772,19,0.0%,0.111017
